year,month,day,hour,u_wind,v_wind,wind_speed
2023,1,1,0,-1.4469366,0.59208393,1.5633902030628448
2023,1,1,1,-1.6478128,0.6836977,1.7840206591542247
2023,1,1,2,-1.7359867,0.70498466,1.8736737265750538
2023,1,1,3,-1.8528023,0.7604027,2.0027702092653468
2023,1,1,4,-2.3836374,0.9272746,2.557648440477237
2023,1,1,5,-1.601325,0.5673899,1.6988740897524888
2023,1,1,6,-0.5497675,0.03010875,0.5505913498224386
2023,1,1,7,0.18489742,-0.43230343,0.4701843376560306
2023,1,1,8,0.72735214,-0.89084435,1.1500629487735048
2023,1,1,9,0.96709836,-1.3355827,1.6489573875363963
2023,1,1,10,0.9932229,-1.9287901,2.1694983140259643
2023,1,1,11,0.53809434,-1.5109129,1.6038713469347432
2023,1,1,12,-0.13026017,-2.2024078,2.206256556219206
2023,1,1,13,-1.5359478,-0.8812847,1.7708185649666897
2023,1,1,14,-1.8351316,-0.075699806,1.8366923029960351
2023,1,1,15,-1.3104753,0.20498848,1.3264109160544737
2023,1,1,16,-1.1204596,0.36507416,1.178434876674029
2023,1,1,17,-1.0833969,0.44100094,1.169713937590512
2023,1,1,18,-0.96957684,0.46387196,1.0748285591846347
2023,1,1,19,-0.8687277,0.44994545,0.9783346548121437
2023,1,1,20,-0.7721076,0.44864178,0.8929891331266533
2023,1,1,21,-0.6872113,0.44103527,0.8165607427613406
2023,1,1,22,-0.85295486,0.6009178,1.043376357149511
2023,1,1,23,-0.86961174,0.63434315,1.0763901741652493
2023,1,2,0,-0.7707539,0.5373955,0.9396039082150887
2023,1,2,1,-0.6859127,0.44606304,0.8181983304897602
2023,1,2,2,-0.7258291,0.42193317,0.8395567409860087
2023,1,2,3,-0.91465473,0.6333914,1.1125546813368945
2023,1,2,4,-1.0491085,0.75941175,1.2951196335480821
2023,1,2,5,-0.621369,0.98295254,1.1628822493290991
2023,1,2,6,0.8187378,0.7741699,1.1267966369720464
2023,1,2,7,1.9406691,0.6375823,2.042720634699486
2023,1,2,8,2.449911,0.57744807,2.517044051564636
2023,1,2,9,2.4437091,0.6295539,2.523500043089939
2023,1,2,10,2.497452,0.71496356,2.59777587194954
2023,1,2,11,1.3797867,0.4621113,1.4551145205991518
2023,1,2,12,1.383433,1.5137565,2.0506939324644327
2023,1,2,13,-0.28555584,1.5468825,1.5730186387362275
2023,1,2,14,-1.2135677,1.2398379,1.7349191984859973
2023,1,2,15,-1.2152042,0.9548623,1.545471885105831
2023,1,2,16,-1.3234892,0.8868407,1.5931447087206894
2023,1,2,17,-1.393673,0.9260133,1.6732677273113814
2023,1,2,18,-1.6013546,1.1006126,1.9431121264356954
2023,1,2,19,-1.8756447,1.2637129,2.2616395005965044
2023,1,2,20,-2.09305,1.4400282,2.5405785768274356
2023,1,2,21,-2.3561182,1.7818365,2.954020028723406
2023,1,2,22,-2.1046925,1.7861395,2.760439207589819
2023,1,2,23,-1.983633,1.5036573,2.4891334721173997
2023,1,3,0,-2.4271975,1.7497711,2.9921541501267783
2023,1,3,1,-2.6066265,2.0318937,3.305010423061575
2023,1,3,2,-2.576064,2.0118666,3.268595017948776
2023,1,3,3,-2.5669117,1.985364,3.24510488534798
2023,1,3,4,-2.6949348,2.2732856,3.5256916147363286
2023,1,3,5,-2.3350677,2.667008,3.544781044655286
2023,1,3,6,-1.6061811,2.7242918,3.162528053487901
2023,1,3,7,-0.6941843,2.7465136,2.832883483312123
2023,1,3,8,0.005908966,2.5192556,2.5192625679139224
2023,1,3,9,0.06853676,2.100116,2.1012340568182672
2023,1,3,10,0.21623325,1.9564064,1.9683197518237618
2023,1,3,11,-0.2454071,2.071955,2.086437640183436
2023,1,3,12,-1.0822687,1.8559263,2.1484338273349795
2023,1,3,13,-1.6299,1.834549,2.454005662386679
2023,1,3,14,-2.0742683,2.1043482,2.954804633928175
2023,1,3,15,-2.2472954,2.169118,3.1233650294145314
2023,1,3,16,-2.0767603,1.8728046,2.796485390040608
2023,1,3,17,-1.9372749,1.4351625,2.4109594965308725
2023,1,3,18,-1.990324,1.2001467,2.3241647419883393
2023,1,3,19,-2.0407114,0.9761715,2.262170155995988
2023,1,3,20,-1.918046,0.59734917,2.0089117641512035
2023,1,3,21,-1.8701868,0.6609335,1.9835402119820869
2023,1,3,22,-2.216795,1.1373835,2.491549932463211
2023,1,3,23,-2.7297878,1.8428745,3.2936193010270958
2023,1,4,0,-2.8188734,2.0925417,3.51066632134153
2023,1,4,1,-2.7460651,1.8201113,3.294492192162991
2023,1,4,2,-2.7560616,1.7069397,3.241838740482096
2023,1,4,3,-2.786601,1.7174387,3.2733379271118976
2023,1,4,4,-2.917615,1.9132214,3.488967309836402
2023,1,4,5,-2.7944841,2.2706842,3.6007150023656584
2023,1,4,6,-2.153264,2.358892,3.193887497736807
2023,1,4,7,-1.740366,2.4832883,3.0324238611040064
2023,1,4,8,-1.4033403,2.393948,2.774950722053159
2023,1,4,9,-1.0172405,1.9527202,2.201793434463443
2023,1,4,10,-0.9163933,1.8575022,2.0712535210941683
2023,1,4,11,-0.916626,0.6662799,1.1331955268342413
2023,1,4,12,-1.9843559,-0.13417721,1.9888871175163074
2023,1,4,13,-2.1531525,0.27467632,2.1706019034936577
2023,1,4,14,-2.7908316,0.8543949,2.9186866045988586
2023,1,4,15,-2.9563332,1.2578421,3.2127982216455417
2023,1,4,16,-2.975648,1.4331274,3.3027768219254656
2023,1,4,17,-3.024335,1.5483217,3.39763179195941
2023,1,4,18,-3.0707998,1.6033497,3.464179815710142
2023,1,4,19,-3.1569166,1.6241026,3.550187567729154
2023,1,4,20,-3.1908865,1.6576214,3.595756567330763
2023,1,4,21,-3.2395535,1.6192608,3.6217001621903613
2023,1,4,22,-3.4968643,1.6765985,3.8780204690753144
2023,1,4,23,-3.5659618,1.7117834,3.9555386824243755
2023,1,5,0,-3.535183,1.7700262,3.953544142121193
2023,1,5,1,-3.5574741,1.8935728,4.030042209134879
2023,1,5,2,-3.4854736,2.057105,4.0472469273542915
2023,1,5,3,-3.3532104,2.109313,3.9614671140675237
2023,1,5,4,-3.5538712,2.3552027,4.263446941678604
2023,1,5,5,-3.3750124,2.5745764,4.244897196700321
2023,1,5,6,-2.7728891,2.971656,4.064437728581167
2023,1,5,7,-2.1544638,3.0211163,3.7106411257663696
2023,1,5,8,-1.7721548,3.4068701,3.8402209212545393
2023,1,5,9,-0.9374151,3.1305685,3.2679054871778987
2023,1,5,10,-0.34844875,2.471593,2.4960344574052273
2023,1,5,11,-0.8507824,1.8915805,2.0741039821043024
2023,1,5,12,-1.4722757,1.6319387,2.1979125878824144
2023,1,5,13,-2.0792933,1.7545519,2.720645649433816
2023,1,5,14,-2.5653906,2.0401545,3.277721628190478
2023,1,5,15,-2.6860943,2.2074451,3.476768121330573
2023,1,5,16,-2.2219028,2.2673063,3.174512599906858
2023,1,5,17,-1.4198141,2.152666,2.5787290299081698
2023,1,5,18,-0.7493057,1.8909321,2.033982107264969
2023,1,5,19,-0.7332325,1.897047,2.033818423346687
2023,1,5,20,-0.2560678,2.1579123,2.173052236365224
2023,1,5,21,0.8813133,2.1839027,2.3550253406035244
2023,1,5,22,1.073071,2.1467562,2.4000090500220415
2023,1,5,23,1.6932876,2.2593355,2.8234411479542363
2023,1,6,0,0.7675053,2.1342325,2.2680416268746706
2023,1,6,1,-0.24005777,1.5457058,1.564235959442868
2023,1,6,2,-0.31091213,1.448659,1.48164742352323
2023,1,6,3,-0.2368229,1.5731707,1.590896294233193
2023,1,6,4,-0.2924863,1.6664381,1.6919114018602481
2023,1,6,5,-0.5754811,1.8884916,1.9742287492674344
2023,1,6,6,-1.1705418,1.848355,2.187826416435281
2023,1,6,7,-1.7362928,1.9094666,2.5808478475299568
2023,1,6,8,-1.7636185,1.7137549,2.459127067902215
2023,1,6,9,-1.7274513,1.6099591,2.3613674987663082
2023,1,6,10,-2.4089785,1.8797596,3.0555970280140077
2023,1,6,11,-2.5922499,1.8426151,3.1804071906593427
2023,1,6,12,-2.3688393,1.7638674,2.953409485031038
2023,1,6,13,-2.615223,1.7927551,3.170703695327712
2023,1,6,14,-2.8777275,1.8704367,3.432178454555718
2023,1,6,15,-3.0288973,1.9386597,3.5961952219094417
2023,1,6,16,-3.0304832,1.9318876,3.593886267728937
2023,1,6,17,-3.0962582,2.0133867,3.693310266509545
2023,1,6,18,-3.132224,1.9890099,3.7103891868295933
2023,1,6,19,-3.2735767,1.9457521,3.8081827759133575
2023,1,6,20,-3.5252037,1.9914303,4.048809174436699
2023,1,6,21,-3.789487,2.0294228,4.298693707508044
2023,1,6,22,-3.3390713,2.43956,4.1353173584903224
2023,1,6,23,-3.7302704,2.538498,4.5120825419071044
2023,1,7,0,-4.043751,2.6841564,4.853515829606506
2023,1,7,1,-4.0855694,2.8189583,4.963708590470235
2023,1,7,2,-3.7861414,2.8956614,4.7665208847402765
2023,1,7,3,-3.6074,3.0018263,4.693004941811769
2023,1,7,4,-3.767127,3.2369556,4.966802587789174
2023,1,7,5,-4.078904,3.7044802,5.510048313704921
2023,1,7,6,-4.130045,4.0117636,5.757735505034068
2023,1,7,7,-3.4859877,4.8513446,5.973914485070515
2023,1,7,8,-2.1670732,5.0572205,5.501971032352142
2023,1,7,9,-1.5000048,5.1176877,5.3329861918226635
2023,1,7,10,0.33081436,5.515894,5.5258052858165865
2023,1,7,11,0.5148678,4.842355,4.869649740528961
2023,1,7,12,-0.1543684,3.876728,3.879800257449468
2023,1,7,13,-1.4958105,3.52213,3.826597562203326
2023,1,7,14,-2.638359,3.4380217,4.333697210803825
2023,1,7,15,-3.299632,3.6380749,4.911533427428787
2023,1,7,16,-3.446271,3.7344398,5.081616317923807
